latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.100006,3.699997,13.0,0,GMT,GMT

time,temperature_2m (°C),precipitation (mm),cloudcover (%),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),is_day ()
2023-01-01T00:00,15.8,0.00,86,36.9,218,68.0,0
2023-01-01T01:00,15.3,0.00,80,37.0,217,67.7,0
2023-01-01T02:00,14.7,0.00,70,35.5,220,64.1,0
2023-01-01T03:00,14.3,0.00,99,32.1,227,62.6,0
2023-01-01T04:00,13.8,0.00,70,27.5,226,61.2,0
2023-01-01T05:00,13.3,0.00,100,25.5,223,56.2,0
2023-01-01T06:00,12.8,0.00,100,25.5,220,51.1,0
2023-01-01T07:00,12.8,0.10,96,25.2,217,47.5,0
2023-01-01T08:00,12.7,0.00,100,25.5,222,47.2,1
2023-01-01T09:00,12.8,0.00,95,24.8,221,45.0,1
2023-01-01T10:00,12.9,0.00,71,21.0,218,43.6,1
2023-01-01T11:00,13.3,0.00,86,20.2,215,43.9,1
2023-01-01T12:00,13.6,0.00,100,17.9,208,47.2,1
2023-01-01T13:00,13.6,0.00,96,19.4,202,41.0,1
2023-01-01T14:00,13.2,0.10,100,19.8,205,33.8,1
2023-01-01T15:00,12.7,0.30,100,18.1,197,32.0,1
2023-01-01T16:00,12.0,0.80,100,17.7,184,27.0,0
2023-01-01T17:00,11.4,0.70,100,15.1,183,20.2,0
2023-01-01T18:00,11.1,0.70,100,16.0,171,18.7,0
2023-01-01T19:00,10.8,0.70,100,16.7,166,30.6,0
2023-01-01T20:00,11.0,0.10,100,18.4,179,32.8,0
2023-01-01T21:00,11.5,0.00,100,21.9,197,40.3,0
2023-01-01T22:00,12.1,0.20,100,23.5,209,43.9,0
2023-01-01T23:00,12.4,0.40,100,21.8,211,45.0,0
2023-01-02T00:00,12.6,0.60,93,22.7,205,45.4,0
2023-01-02T01:00,12.7,0.40,97,23.7,204,43.6,0
2023-01-02T02:00,12.6,0.20,100,24.0,208,48.2,0
2023-01-02T03:00,12.0,1.00,100,26.6,221,48.2,0
